word,translation,progress,usage
bære bar har båret,to carry,1,"Han har båret kassen hele vejen hjem."
løse løste har løst,to solve,1,"Hun har løst problemet."
skabe skabte har skabt,to create,1,"De har skabt et smukt kunstværk."
hjælpe hjalp har hjulpet,to help,1,"Jeg har hjulpet ham med opgaven."
vokse voksede er vokset,to grow,1,"Træet er vokset meget i år."
håbe håbede har håbet,to hope,1,"Han har håbet på bedre vejr."
bygge byggede har bygget,to build,1,"De har bygget et nyt hus."
gemme gemte har gemt,to hide,1,"Hun har gemt brevet i skuffen."
kigge kiggede har kigget,to look,1,"Jeg har kigget efter min nøgle."
danse dansede har danset,to dance,1,"Vi har danset hele natten."
trykke trykkede har trykket,to press,1,"Han har trykket på knappen."
ødelægge ødelagde har ødelagt,to destroy,1,"Stormen har ødelagt taget."
røre rørte har rørt,to touch,1,"Hun har rørt ved katten."
smide smed har smidt,to throw,1,"Han har smidt affaldet i skraldespanden."
ændre ændrede har ændret,to change,1,"De har ændret planen."
prøve prøvede har prøvet,to try,1,"Jeg har prøvet at ringe til ham."
ønske ønskede har ønsket,to wish,1,"Hun har ønsket sig en ny cykel."
sende sendte har sendt,to send,1,"Jeg har sendt en e-mail."
ringe ringede har ringet,to call,1,"Han har ringet til sin mor."
bryde brød har brudt,to break,1,"Han har brudt reglerne."
springe sprang er/har sprunget,to jump,1,"Hun er sprunget i vandet. Han har sprunget over muren."
kræve krævede har krævet,to demand,1,"Læreren har krævet mere disciplin."
undervise underviste har undervist,to teach,1,"Hun har undervist i matematik."
snakke snakkede har snakket,to chat,1,"Vi har snakket hele dagen."
åbne åbnede har åbnet,to open,1,"Han har åbnet døren."
stjæle stjal har stjålet,to steal,1,"Tyven har stjålet en taske."
tegne tegnede har tegnet,to draw,1,"Barnet har tegnet en flot tegning."
skyde skød har skudt,to shoot,1,"Jægeren har skudt en hjort."
svømme svømmede har svømmet,to swim,1,"Hun har svømmet i havet."
stoppe stoppede er/har stoppet,to stop,1,"Bilen er stoppet ved lyskrydset. Han har stoppet maskinen."
vælge valgte har valgt,to choose,1,"Jeg har valgt den røde kjole."
kysse kyssede har kysset,to kiss,1,"De har kysset hinanden."
vende vendte har vendt,to turn,1,"Han har vendt siden i bogen."
dø døde er død,to die,1,"Han er død af alderdom."
dele delte har delt,to share,1,"Vi har delt en pizza."
lege legede har leget,to play (as in playing a game),1,"Børnene har leget i haven."
fortælle fortalte har fortalt,to tell,1,"Hun har fortalt en historie."
græde græd har grædt,to cry,1,"Barnet har grædt hele natten."
kaste kastede har kastet,to throw,1,"Han har kastet bolden."
starte startede er/har startet,to start,1,"Mødet er startet. Han har startet computeren."
