word,translation,progress,usage
"høre,hørte,har hørt",to hear,1,"Jeg har hørt den sang før."
"lægge,lagde,har lagt",to lay,1,"Hun har lagt bogen på bordet."
"købe,købte,har købt",to buy,1,"Jeg har købt en ny telefon."
"drikke,drak,har drukket",to drink,1,"Han har drukket en kop kaffe."
"trække,trak,har trukket",to pull,1,"Hun har trukket stolen ud."
"løbe,løb,er/har løbet",to run,1,"Han er løbet en tur. Han har løbet maraton."
"spille,spillede,har spillet",to play,1,"Vi har spillet fodbold i dag."
"falde,faldt,er faldet",to fall,1,"Han er faldet på isen."
"huske,huskede,har husket",to remember,1,"Jeg har husket hans fødselsdag."
"begynde,begyndte,er begyndt",to begin,1,"Mødet er begyndt for 10 minutter siden."
"tale,talte,har talt",to talk/speak,1,"Vi har talt om planerne."
"bruge,brugte,har brugt",to use,1,"Han har brugt meget tid på projektet."
"betale,betalte,har betalt",to pay,1,"Hun har betalt regningen."
"sidde,sad,har siddet",to sit,1,"Jeg har siddet i stolen hele dagen."
"vise,viste,har vist",to show,1,"Han har vist os billeder fra sin ferie."
"miste,mistede,har mistet",to lose,1,"Hun har mistet sin pung."
"dræbe,dræbte,har dræbt",to kill,1,"Jægeren har dræbt en hjort."
"følge,fulgte,har fulgt",to follow,1,"Han har fulgt med i nyhederne."
"sove,sov,har sovet",to sleep,1,"Jeg har sovet godt i nat."
"bringe,bragte,har bragt",to bring,1,"Han har bragt mad til festen."
"holde,holdt,har holdt",to hold/keep,1,"Hun har holdt sin tale."
"ligge,lå,har ligget",to lie,1,"Bogen har ligget på bordet hele dagen."
"sætte,satte,har sat",to put/set,1,"Jeg har sat koppen på bordet."
"møde,mødte,har mødt",to meet,1,"Vi har mødt hinanden før."
"slå,slog,har slået",to hit,1,"Han har slået bolden langt væk."
"flytte,flyttede,har flyttet",to move,1,"De har flyttet til en ny by."
"rejse,rejste,er/har rejst",to travel,1,"Han er rejst til Spanien. Han har rejst meget i sit liv."
"sejle,sejlede,har sejlet",to sail,1,"Vi har sejlet i Middelhavet."
"vente,ventede,har ventet",to wait,1,"Hun har ventet længe på toget."
"grine,grinede,har grinet",to laugh,1,"De har grinet af vittigheden."
