word,translation,progress,usage
at have held i,to be lucky,2,Han har virkelig haft held i denne uge.
heldet,the luck,3,Heldet var på vores side i spillet.
at tabe,to lose,2,Han hader at tabe i skak.
at have råd,to be able to afford,3,Jeg har ikke råd til en ny bil.
"lad mig vide, hvis",let me know if,3,"Lad mig vide, hvis du har brug for hjælp."
køen,the queue,3,Køen i supermarkedet var meget lang.
i god tid,in advance,3,Vi ankom i god tid til mødet.
at overveje,to consider,2,Jeg overvejer at tage et nyt job.
flydende,liquid/fluent,3,Han taler flydende dansk.
mulig,possible,3,"Det er muligt, at han kommer senere."
hurtigst muligt,as soon as possible,3,Send mig dokumentet hurtigst muligt.
den offentlige transport,the public transport,3,Den offentlige transport i byen fungerer godt.
at sænke,to lower,2,Regeringen ønsker at sænke skatterne.
nogensinde før,ever before,2,Jeg har aldrig set noget lignende nogensinde før.
man bør forbyde,one should ban,3,Man bør forbyde rygning i restauranter.
at opleve,to experience,2,Det var fantastisk at opleve koncerten live.
regeringen,the government,3,Regeringen har indført nye love.
at nævne,to mention,3,Han glemte at nævne den vigtige detalje.
fordelen,the advantage,3,Fordelen ved elbiler er deres lave driftsomkostninger.
ulempen,the disadvantage,3,Ulempen ved at bo på landet er den dårlige transport.
afgiften,duty/tax,3,Bilen er dyr på grund af den høje afgift.
at understrege,to emphasize,2,Læreren understregede vigtigheden af at øve sig.
at bremse,to slow down,3,Han var nødt til at bremse hurtigt for ikke at ramme bilen foran.
dygtig,skilled,3,Hun er meget dygtig til sit arbejde.
at mangle erfaring,to lack experience,3,Han mangler erfaring inden for dette område.
at tage længere tid end forventet,to take longer than expected,3,Projektet tog længere tid end forventet.
at takke for,to thank for,3,Jeg vil gerne takke for din hjælp.
oplevelsen,the experience,2,Oplevelsen var uforglemmelig.
uforglemmelig,unforgettable,3,Det var en uforglemmelig rejse.
at forbedre,to improve,3,Han arbejder hårdt for at forbedre sine færdigheder.
færdigheden,the skill,1,Færdigheden er vigtig i dette job.
