word,translation,progress,usage
bæen,poo,1,"Børnene grinede af bæen."
tisset,pee,1,"Tisset blev hurtigt skyllet ud."
prutten,fart,1,"Prutten fik alle til at grine."
vaskemidlet,washing liquid,1,"Vaskemidlet blev hældt i maskinen."
brusehovedet,shower head,1,"Brusehovedet var stoppet og skulle renses."
karkluden,dishcloth,1,"Karkluden blev brugt til at tørre bordet af."
spejlet,mirror,1,"Spejlet i gangen var stort og flot."
koppen,cup,1,"Koppen blev fyldt med kaffe."
glasset,glass,1,"Glasset var fyldt med vand."
tørrestativerne,drying racks,1,"Tørrestativerne stod udenfor i solen."
hårtørreren,hair dryer,1,"Hårtørreren blev brugt efter badet."
ventilationen,ventilation,1,"Ventilationen i rummet var god og nødvendig."
solopgangen,sunrise,1,"Solopgangene om sommeren er smukke."
solnedgangen,sunset,1,"Solnedgangen blev set fra stranden."
skyen,cloud,1,"Skyerne på himlen varslede regn."
stormen,storm,1,"Stormen raserede kysten."
dørmåtten,doormat,1,"Dørmåtten var beskidt efter regnen."
lænestolen,armchair,1,"Lænestolen var meget behagelig."
bøgerne,books,1,"Bøgerne blev stillet på hylden."
grydelåget,pot lid,1,"Grydelågene var i skabet ved gryderne."
dynen,duvet,1,"Dynen var dejlig varm."
lagnet,sheet,1,"Lagnet blev skiftet i morges."
skrivebordet,desk,1,"Skrivebordet var fyldt med papirer."
skærmen,monitor,1,"Skærmen på computeren var stor og skarp."
computeren,PC,1,"Computeren blev brugt til arbejdet."
telefonen,phone,1,"Telefonen ringede pludseligt."
jakkesættet,suit,1,"Jakkesættet var nystrøget og klar til brug."
bukserne,trousers,1,"Bukserne blev lagt sammen og lagt væk."
kjolen,dress,1,"Kjolen hang på bøjlen i skabet."
strømpen,sock,1,"Strømperne blev lagt i skuffen."
nederdelen,skirt,1,"Nederdelen var lavet af uld og meget varm."
underbukserne,pants,1,"Underbukserne var rene og klar til brug."
undertøjet,underwear,1,"Undertøjet lå i skuffen."
skjorten,shirt,1,"Skjorten blev knappet og lagt på plads."
trøjen,sweater,1,"Trøjen var strikket af uld og meget blød."
tasken,bag,1,"Tasken var tung med bøger."
bagagen,luggage,1,"Bagagen blev tjekket ind i lufthavnen."
pæren,light bulb,1,"Pæren blev skiftet til en ny."
dørlåsen,door lock,1,"Dørlåsen blev repareret hurtigt."
